dteday,season,year,month,hour,weekday,workingday,weather_situation,temp,average_temp,humidity,windspeed,casual,registered,total,total_customers,recency,monetary_value_x,R,F,M,RFM_Score,cluster,frequency,monetary_value_y,r_score,monetary_value
2011-01-01,spring,2011,January,0,Saturday,Holiday,Clear,0.24,0.2879,0.81,0.0,3,13,16,16,730,16,1,1,1,111,1,726,39130,1,16
2011-01-01,spring,2011,January,1,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,8,32,40,40,730,40,1,1,1,111,1,724,24164,1,40
2011-01-01,spring,2011,January,2,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,5,27,32,32,730,32,1,1,1,111,1,715,16352,1,32
2011-01-01,spring,2011,January,3,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,3,10,13,13,730,13,1,1,1,111,1,697,8174,1,13
2011-01-01,spring,2011,January,4,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,0,1,1,1,730,1,1,1,1,111,1,697,4428,1,1
2011-01-01,spring,2011,January,5,Saturday,Holiday,Mist,0.24,0.2576,0.75,0.0896,0,1,1,1,730,1,1,1,1,111,1,717,14261,1,1
2011-01-01,spring,2011,January,6,Saturday,Holiday,Clear,0.22,0.2727,0.8,0.0,2,0,2,2,730,2,1,1,1,111,1,725,55132,1,2
2011-01-01,spring,2011,January,7,Saturday,Holiday,Clear,0.2,0.2576,0.86,0.0,1,2,3,3,730,3,1,1,1,111,1,727,154171,1,3
2011-01-01,spring,2011,January,8,Saturday,Holiday,Clear,0.24,0.2879,0.75,0.0,1,7,8,8,730,8,1,1,1,111,1,727,261001,1,8
2011-01-01,spring,2011,January,9,Saturday,Holiday,Clear,0.32,0.3485,0.76,0.0,8,6,14,14,730,14,1,1,2,112,1,727,159438,1,14
2011-01-01,spring,2011,January,10,Saturday,Holiday,Clear,0.38,0.3939,0.76,0.2537,12,24,36,36,730,36,1,1,2,112,1,727,126257,1,36
2011-01-01,spring,2011,January,11,Saturday,Holiday,Clear,0.36,0.3333,0.81,0.2836,26,30,56,56,730,56,1,2,1,121,1,727,151320,1,56
2011-01-01,spring,2011,January,12,Saturday,Holiday,Clear,0.42,0.4242,0.77,0.2836,29,55,84,84,730,84,1,2,2,122,1,728,184414,1,84
2011-01-01,spring,2011,January,13,Saturday,Holiday,Mist,0.46,0.4545,0.72,0.2985,47,47,94,94,730,94,1,2,2,122,0,729,184919,1,94
2011-01-01,spring,2011,January,14,Saturday,Holiday,Mist,0.46,0.4545,0.72,0.2836,35,71,106,106,730,106,1,2,2,122,0,729,175652,1,106
2011-01-01,spring,2011,January,15,Saturday,Holiday,Mist,0.44,0.4394,0.77,0.2985,40,70,110,110,730,110,1,2,2,122,0,729,183149,1,110
2011-01-01,spring,2011,January,16,Saturday,Holiday,Mist,0.42,0.4242,0.82,0.2985,41,52,93,93,730,93,1,2,2,122,0,730,227748,1,93
2011-01-01,spring,2011,January,17,Saturday,Holiday,Mist,0.44,0.4394,0.82,0.2836,15,52,67,67,730,67,1,2,2,122,0,730,336860,1,67
2011-01-01,spring,2011,January,18,Saturday,Holiday,Light Snow,0.42,0.4242,0.88,0.2537,9,26,35,35,730,35,1,1,2,112,0,728,309772,1,35
2011-01-01,spring,2011,January,19,Saturday,Holiday,Light Snow,0.42,0.4242,0.88,0.2537,6,31,37,37,730,37,1,1,2,112,0,728,226789,1,37
2011-01-01,spring,2011,January,20,Saturday,Holiday,Mist,0.4,0.4091,0.87,0.2537,11,25,36,36,730,36,1,1,2,112,0,728,164550,1,36
2011-01-01,spring,2011,January,21,Saturday,Holiday,Mist,0.4,0.4091,0.87,0.194,3,31,34,34,730,34,1,1,2,112,0,728,125445,1,34
2011-01-01,spring,2011,January,22,Saturday,Holiday,Mist,0.4,0.4091,0.94,0.2239,11,17,28,28,730,28,1,1,2,112,0,728,95612,1,28
2011-01-01,spring,2011,January,23,Saturday,Holiday,Mist,0.46,0.4545,0.88,0.2985,15,24,39,39,730,39,1,1,2,112,0,728,63941,1,39
2011-01-02,spring,2011,January,0,Sunday,Holiday,Mist,0.46,0.4545,0.88,0.2985,4,13,17,17,729,17,1,1,2,112,0,726,39130,1,17
2011-01-02,spring,2011,January,1,Sunday,Holiday,Mist,0.44,0.4394,0.94,0.2537,1,16,17,17,729,17,1,1,2,112,0,724,24164,1,17
2011-01-02,spring,2011,January,2,Sunday,Holiday,Mist,0.42,0.4242,1.0,0.2836,1,8,9,9,729,9,1,1,2,112,0,715,16352,1,9
2011-01-02,spring,2011,January,3,Sunday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,4,6,6,729,6,1,1,2,112,0,697,8174,1,6
2011-01-02,spring,2011,January,4,Sunday,Holiday,Mist,0.46,0.4545,0.94,0.194,2,1,3,3,729,3,1,1,2,112,0,697,4428,1,3
2011-01-02,spring,2011,January,6,Sunday,Holiday,Light Snow,0.42,0.4242,0.77,0.2985,0,2,2,2,729,2,1,1,2,112,1,725,55132,1,2
2011-01-02,spring,2011,January,7,Sunday,Holiday,Mist,0.4,0.4091,0.76,0.194,0,1,1,1,729,1,1,1,2,112,0,727,154171,1,1
2011-01-02,spring,2011,January,8,Sunday,Holiday,Light Snow,0.4,0.4091,0.71,0.2239,0,8,8,8,729,8,1,1,2,112,1,727,261001,1,8
